FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CFE EQUIPMENT CHANGE TYPE; ; ;CURRENT / CURRENT;1504/002;3-5;A
2 M;(NU) REASON FOR CFE CHANGE; ; ;CURRENT / CURRENT;1505/002;4-9;AS
3 O;(NU) GEOGRAPHIC PLACE NAME;FROM;A ;CURRENT / CURRENT;1022/090;1-30;X
;(NU) GEOGRAPHIC PLACE NAME;TO;B ;CURRENT / CURRENT;1022/090;1-30;X
4 O;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
5 O;(NU) FORMER SOVIET MILITARY DISTRICT; ; ;CURRENT / CURRENT;1502/002;2;A
6 O;(NU) ARMS CONTROL ID OF RECEIVING OR TRANSFERRING UNIT; ; ;CURRENT / CURRENT;2306/005;4-15;X
7 O;(NU) ENTITY NAME; ; ;CURRENT / CURRENT;1022/150;1-35;X
8 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ; ;CURRENT / CURRENT;2024/001;15;AN
9 O;(NU) BASIC ENCYCLOPEDIA SYNONYM; ; ;CURRENT / CURRENT;1012/151;12;ANS
10 O;(NU) DECLARED SITE RECORD NUMBER; ; ;CURRENT / CURRENT;2405/001;7-15;X
