FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NAVAL TASK DESIGNATOR;NTD;A;CURRENT / CURRENT;2143/002;3-15;ANS
;(NU) UNIT NAME; ;B;CURRENT / CURRENT;1022/048;1-38;X
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;B;CURRENT / CURRENT;2044/001;18;ANS
;(NU) PLACE NAME;PLACE;C;CURRENT / CURRENT;1022/170;1-20;X
3 M;(NU) DAY-TIME OF POSITION, VERIFIED; ;A;CURRENT / CURRENT;2013/007;8;AN
;(NU) DATE-TIME MONTH, VERIFIED; ;B;CURRENT / CURRENT;2032/001;11;AN
;(NU) LOCATING DAY-MONTH NAME; ;C;CURRENT / CURRENT;2067/004;5;AN
4 M;(NU) COURSE IN DEGREES TRUE AND SPEED IN KNOTS; ;A;CURRENT / CURRENT;2025/001;5-6;NS
;(NU) NAVAL FORCE MOVEMENT STATUS; ;B;CURRENT / CURRENT;1341/002;3-6;A
