FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTACT NAME; ; ;CURRENT / CURRENT;1022/007;1-20;X
2 M;(NU) RANK OR POSITION; ; ;CURRENT / CURRENT;1046/002;1-16;X
3 M;(NU) UNIT DESIGNATOR; ;A;CURRENT / CURRENT;1028/043;1-24;X
;(NU) UNIT CALL SIGN;CALLSIGN;B;CURRENT / CURRENT;1129/033;1-38;X
4 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/001;13;AN
;(NU) LOCATION NAME;LOC;C;CURRENT / CURRENT;1022/004;1-20;X
* 5 M;(NU) NON-SECURE TELEPHONE;TEL;A;CURRENT / CURRENT;1361/003;3-20;X
;(NU) SECURE TELEPHONE NUMBER;SECTEL;B;CURRENT / CURRENT;1361/004;4-20;X
;(NU) RADIO FREQUENCY;FRQ;C;CURRENT / CURRENT;2064/001;3-14;ANS
;(NU) FREQUENCY DESIGNATOR;FRQDES;D;CURRENT / CURRENT;1396/001;1-8;AN
;(NU) FREQUENCY MODE AND NUMERIC;FREQ;E;CURRENT / CURRENT;2498/001;2-8;ANS
;(NU) ELECTRONIC MAIL ADDRESS;EMAIL;F;CURRENT / CURRENT;1183/007;1-60;X
