FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME, VERIFIED; ;A;CURRENT / CURRENT;2013/001;8;AN
;(NU) DAY-TIME; ;B;CURRENT / CURRENT;2000/001;7;AN
2 M;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;B;CURRENT / CURRENT;2018/001;12;AN
;(NU) POSITION OR POINT NAME;NAME;C;CURRENT / CURRENT;1022/018;1-20;X
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;D;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;E;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;F;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;G;CURRENT / CURRENT;2087/001;11;AN
;(NU) ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;H;CURRENT / CURRENT;2043/011;14;ANS
;(NU) ORIGIN, BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;I;CURRENT / CURRENT;2307/002;10-27;ANBS
;(NU) ORIGIN, LAT/LONG, MINUTES; ;J;CURRENT / CURRENT;2023/009;11;AN
;(NU) ORIGIN PLACE NAME;ORIGIN;K;CURRENT / CURRENT;1022/109;1-20;X
;(NU) SHIP NAME;SHIP;L;CURRENT / CURRENT;1022/049;1-38;X
* 3 M;(NU) INNER RADIUS, NAUTICAL MILES; ; ;CURRENT / CURRENT;2276/002;3-6;AN
* 4 M;(NU) OUTER RADIUS, NAUTICAL MILES; ; ;CURRENT / CURRENT;2276/003;3-6;AN
* 5 M;(NU) LEFT-MOST BEARING, DEGREES TRUE; ; ;CURRENT / CURRENT;2253/002;4;AN
* 6 M;(NU) RIGHT-MOST BEARING, DEGREES TRUE; ; ;CURRENT / CURRENT;2253/003;4;AN
* 7 O;(NU) SECTOR REFERENCE NAME; ; ;CURRENT / CURRENT;1022/056;1-30;X
