FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) BASE NAME; ; ;CURRENT / CURRENT;1022/104;1-20;X
* 2 M;(NU) GUARD UNIT NAME; ; ;CURRENT / CURRENT;1022/128;1-38;X
* 3 M;(NU) SECONDARY GUARD SHIP; ; ;CURRENT / CURRENT;1022/132;1-38;X
* 4 M;(NU) SHIP-SHORE KEYMAT; ; ;CURRENT / CURRENT;1078/006;8-10;AN
* 5 M;(NU) SHIP NAME; ;A;CURRENT / CURRENT;1022/049;1-38;X
;(NU) UNIT;UNIT;B;CURRENT / CURRENT;1022/057;1-30;X
;(NU) NAVAL TASK DESIGNATOR;NTD;C;CURRENT / CURRENT;2143/002;3-15;ANS
* 6 M;(NU) DAY-TIME OF START, VERIFIED; ;A;CURRENT / CURRENT;2013/008;8;AN
;(NU) DATE-TIME MONTH OF START, VERIFIED; ;B;CURRENT / CURRENT;2032/003;11;AN
* 7 M;(NU) DAY-TIME OF STOP, VERIFIED; ;A;CURRENT / CURRENT;2013/009;8;AN
;(NU) DATE-TIME MONTH OF STOP, VERIFIED; ;B;CURRENT / CURRENT;2032/004;11;AN
