FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LEG IDENTIFICATION NUMBER; ; ;CURRENT / CURRENT;1012/247;1-4;N
2 M;(NU) AIRLIFT MISSION NUMBER; ; ;CURRENT / CURRENT;1012/241;1-12;AN
3 M;(NU) ICAO BASE CODE; ;A;CURRENT / CURRENT;1125/002;4;AN
;(NU) SPECIFIED GEOLOCATION CODE;G;B;CURRENT / CURRENT;1125/011;4;AN
4 M;(NU) CREW TYPE; ; ;CURRENT / CURRENT;1806/001;1;A
5 O;(NU) DELIVERY METHOD; ; ;CURRENT / CURRENT;1349/001;4;A
6 O;(NU) DAY-TIME AND MONTH OF SCHEDULED ARRIVAL; ;A;CURRENT / CURRENT;2030/044;10;AN
;(NU) JULIAN DAY-TIME OF ARRIVAL; ;B;CURRENT / CURRENT;2484/003;8;AN
7 M;(NU) AIRLIFT ACTIVITY PURPOSE; ; ;CURRENT / CURRENT;2499/001;3;AN
8 O;(NU) DAY-TIME OF DEPARTURE; ;A;CURRENT / CURRENT;2000/012;7;AN
;(NU) JULIAN DAY-TIME OF DEPARTURE; ;B;CURRENT / CURRENT;2484/002;8;AN
9 O;(NU) REQUIREMENT NUMBER; ; ;CURRENT / CURRENT;1012/248;6;X
10 O;(NU) MISSION PRIORITY IDENTIFIER; ; ;CURRENT / CURRENT;1076/010;3;AN
11 O;(NU) ROUTE COMMENT; ; ;CURRENT / CURRENT;1357/022;1-10;X
