FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ORDNANCE/WEAPON TYPE, SURFACE-TO-AIR; ; ;CURRENT / CURRENT;1407/002;3-6;ANS
2 M;(NU) NUMBER OF ENEMY WEAPONS FIRED; ; ;CURRENT / CURRENT;1044/180;1-2;N
3 M;(NU) INCIDENT POSITION, LAT/LONG, MINUTES;LATM;A;CURRENT / CURRENT;2023/018;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;B;CURRENT / CURRENT;2024/001;15;AN
;(NU) LOCATION, UTM 1,000-METRE;UTMK;C;CURRENT / CURRENT;2088/020;9;AN
;(NU) LOCATION, UTM 100-METRE;UTMO;D;CURRENT / CURRENT;2087/020;11;AN
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;E;CURRENT / CURRENT;2431/001;5-20;X
;(NU) ACTIVITY LOCATION NAME;NAME;F;CURRENT / CURRENT;1022/103;1-20;X
4 M;(NU) DAY-TIME OF EVENT; ; ;CURRENT / CURRENT;2000/009;7;AN
5 M;(NU) FLIGHT LEVEL; ;A;CURRENT / CURRENT;2129/001;5;AN
;(NU) ALTITUDE IN HUNDREDS OF FEET;ALT;B;CURRENT / CURRENT;1255/001;3;N
;(NU) ALTITUDE IN FEET ABOVE GROUND LEVEL (AGL);AGL;C;CURRENT / CURRENT;1290/002;1-5;N
6 O;(NU) RADAR WARNING RECEIVER INDICATIONS; ; ;CURRENT / CURRENT;1363/052;1-20;X
7 O;(NU) ATTACK INTENSITY; ; ;CURRENT / CURRENT;1293/001;3-5;A
8 O;(NU) CLOSEST MISSED POSITION; ; ;CURRENT / CURRENT;2140/001;3-6;AN
9 O;(NU) MEANS BY WHICH WEAPON IDENTIFIED; ; ;CURRENT / CURRENT;1413/002;3-4;A
10 O;(NU) DESCRIPTION OF COUNTERMEASURES TAKEN; ; ;CURRENT / CURRENT;1363/054;1-38;X
