FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) COMMUNICATIONS EVENT; ;A;CURRENT / CURRENT;1224/004;5-11;A
;(NU) EMISSION CONTROL PLAN IDENTIFIER;EMCON;B;CURRENT / CURRENT;1128/008;1-8;AN
2 M;(NU) DAY-TIME OF EVENT; ;A;CURRENT / CURRENT;2000/009;7;AN
;(NU) DAY-TIME OF EVENT, VERIFIED; ;B;CURRENT / CURRENT;2013/034;8;AN
3 O;(NU) DAY-TIME OF TERMINATION; ;A;CURRENT / CURRENT;2000/010;7;AN
;(NU) DAY-TIME,OF TERMINATION, VERIFIED; ;B;CURRENT / CURRENT;2013/035;8;AN
;(NU) TERMINATION TIME QUALIFIER; ;C;CURRENT / CURRENT;1220/004;3-5;A
* 4 M;(NU) COMMUNICATIONS CIRCUIT NAME;CCN;A;CURRENT / CURRENT;1022/067;1-50;AB
;(NU) COMMUNICATIONS CIRCUIT DESIGNATOR; ;B;CURRENT / CURRENT;1305/002;5-8;AN
;(NU) SYSTEM DESIGNATION NAME;SDN;C;CURRENT / CURRENT;1022/046;1-50;X
;(NU) UNIT IDENTIFIER;UNIT ID;D;CURRENT / CURRENT;1028/001;1-20;X
