FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ACTIVITY TYPE; ; ;CURRENT / CURRENT;1299/001;1-8;A
2 M;(NU) ACTIVITY LOCATION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/045;11;AN
;(NU) LOCATION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/020;13;AN
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;CURRENT / CURRENT;2016/001;6-46;X
;(NU) ACTIVITY LOCATION NAME;N;D;CURRENT / CURRENT;1022/103;1-20;X
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE; ;E;CURRENT / CURRENT;2128/001;10;AN
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE; ;F;CURRENT / CURRENT;2126/001;8;AN
;(NU) ACTIVITY LOCATION, LAT/LONG, SECONDS; ;G;CURRENT / CURRENT;2024/029;15;AN
3 O;(NU) DAY-TIME OF ACTIVITY;TIME; ;CURRENT / CURRENT;2000/072;7;AN
4 O;(NU) VERIFIED ENEMY UNIT IDENTIFIER;ENUNIT; ;CURRENT / CURRENT;2102/001;2-19;X
