FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER OF AIRCRAFT, 1-99; ; ;CURRENT / CURRENT;1044/322;1-2;N
2 M;(NU) AIRCRAFT TYPE AND MODEL;ACTYP;A;CURRENT / CURRENT;1015/020;2-6;AN
;(NU) AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;B;CURRENT / CURRENT;1015/018;2-6;AN
3 M;(NU) CALL SIGN, ABBREVIATED; ; ;CURRENT / CURRENT;1129/034;1-12;X
4 M;(NU) PRIMARY CONFIGURATION CODE; ; ;CURRENT / CURRENT;1012/258;1-15;X
5 O;(NU) SECONDARY CONFIGURATION CODE; ; ;CURRENT / CURRENT;1012/259;1-15;X
6 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
7 O;(NU) TACAN CHANNEL; ; ;CURRENT / CURRENT;1012/014;1-4;AN
* 8 O;(NU) PRIMARY JTIDS UNIT (JU) ADDRESS; ; ;CURRENT / CURRENT;1625/032;5;N
* 9 O;(NU) IFF/SIF MODE AND CODE, NON-HYPHENATED; ; ;CURRENT / CURRENT;2500/001;3-5;N
