FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) PERSONNEL CATEGORY AND GENDER;1;CATEGORY; ; ;CURRENT / CURRENT;1286/009;7-8;AS;L
2 M;(NU) NUMBER AUTHORIZED;10;WARAUTH; ; ;CURRENT / CURRENT;1044/257;1-7;N;R
3 M;(NU) EFFECTIVE STRENGTH;18;EFFSTR; ; ;CURRENT / CURRENT;1044/258;1-7;N;R
4 M;(NU) NUMBER ATTACHED;26;ATTACH; ; ;CURRENT / CURRENT;1044/259;1-6;N;R
5 M;(NU) NUMBER DETACHED;33;DETACH; ; ;CURRENT / CURRENT;1044/260;1-6;N;R
6 M;(NU) NUMBER OF DEAD;40;DEAD; ; ;CURRENT / CURRENT;1044/261;1-5;N;R
7 M;(NU) NUMBER OF INCAPACITATED;46;INCAP; ; ;CURRENT / CURRENT;1044/262;1-5;N;R
8 M;(NU) NUMBER OF MISSING;52;MISS; ; ;CURRENT / CURRENT;1044/263;1-5;N;R
9 M;(NU) NUMBER OF OWN POW;58;O-POW; ; ;CURRENT / CURRENT;1044/264;1-5;N;R
10 M;(NU) NUMBER OF ENEMY POW;64;E-POW; ; ;CURRENT / CURRENT;1044/265;1-5;N;R
