FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ALLEGIANCE; ; ;CURRENT / CURRENT;1026/017;2;A
2 M;(NU) SERVICE FORMATION; ; ;CURRENT / CURRENT;1107/006;1-2;A
3 M;(NU) SERVICE NUMBER; ; ;CURRENT / CURRENT;1012/325;1-30;X
4 M;(NU) NATIONAL MILITARY RANK; ; ;CURRENT / CURRENT;1046/003;2-9;ANB
5 M;(NU) RANK (NATO/US), MIL OR CIV; ; ;CURRENT / CURRENT;1046/006;2-3;AN
6 M;(NU) SPECIALISATION, PERSONNEL; ; ;CURRENT / CURRENT;1307/003;1-3;AN
7 O;(NU) PROFESSION; ; ;CURRENT / CURRENT;1046/004;1-54;X
8 O;(NU) PROMOTION DATE, YYYYMMDD; ; ;CURRENT / CURRENT;2053/014;8;N
9 O;(NU) START DATE OF SERVICE, YYYYMMDD; ; ;CURRENT / CURRENT;2053/010;8;N
10 O;(NU) END DATE OF SERVICE, YYYYMMDD; ; ;CURRENT / CURRENT;2053/011;8;N
11 O;(NU) REMARKS; ; ;CURRENT / CURRENT;1357/028;1-68;X
