FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SHIP IDENTIFICATION;ID;A;CURRENT / CURRENT;2021/001;4-11;X
;(NU) SHIP NAME;SHIP;B;CURRENT / CURRENT;1022/049;1-38;X
;(NU) BASE NAME;BASE;C;CURRENT / CURRENT;1022/104;1-20;X
;(NU) PLACE NAME;PLACE;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) TASK ORGANIZATION COMMANDER;CDR;E;CURRENT / CURRENT;1037/003;1-20;X
;(NU) STATION DESIGNATOR;STAT;F;CURRENT / CURRENT;1022/185;1-10;X
;(NU) UNIT DESIGNATOR;UNIT;G;CURRENT / CURRENT;1028/043;1-24;X
;(NU) AIRCRAFT TYPE AND MODEL;AC;H;CURRENT / CURRENT;1015/020;2-6;AN
2 M;(NU) PRIMARY JTIDS UNIT (JU) ADDRESS;PRI;A;CURRENT / CURRENT;1625/032;5;N
;(NU) CRYPTO PUBLICATION LINE NUMBER;LNO;B;CURRENT / CURRENT;1012/181;4;N
3 O;(NU) CALL SIGN; ; ;CURRENT / CURRENT;1129/001;1-38;X
4 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
5 O;(NU) LINK 16 TRACK NUMBER BLOCK ASSIGNMENT; ; ;CURRENT / CURRENT;2616/002;11;ANS
