FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CASUALTY NAME; ; ;CURRENT / CURRENT;1022/311;1-20;X
2 M;(NU) RANK OR POSITION; ; ;CURRENT / CURRENT;1046/002;1-16;X
3 M;(NU) OFFICIAL CASUALTY NUMBER;OCN;A;CURRENT / CURRENT;1012/322;1-12;X
;(NU) SERVICE NUMBER;SERVNO;B;CURRENT / CURRENT;1012/325;1-30;X
4 M;(NU) PERSONNEL GENDER; ; ;CURRENT / CURRENT;1286/002;4-6;A
5 M;(NU) NATIONALITY; ; ;CURRENT / CURRENT;1026/002;2;A
6 M;(NU) NAME OF ORIGINATING UNIT OF CASUALTY; ; ;CURRENT / CURRENT;1022/312;1-30;X
7 M;(NU) PERSONNEL CASUALTY STATUS; ; ;CURRENT / CURRENT;1282/006;2-5;A
8 O;(NU) CASUALTY CONDITION; ; ;CURRENT / CURRENT;1690/009;2-3;A
9 O;(NU) NAME OF LOCATION FROM WHICH THE CASUALTY WAS RECEIVED; ; ;CURRENT / CURRENT;1022/314;1-20;X
10 O;(NU) NAME OF LOCATION TO WHICH THE CASUALTY WAS MEDEVACED; ; ;CURRENT / CURRENT;1022/315;1-20;X
11 O;(NU) NAME OF LOCATION TO WHICH THE CASUALTY IS PENDING MEDEVAC; ; ;CURRENT / CURRENT;1022/316;1-20;X
12 O;(NU) NAME OF PRESENT LOCATION OF CASUALTY; ; ;CURRENT / CURRENT;1022/313;1-20;X
