FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) REPORTABLE ITEM CODE (EXPANDED); ; ;CURRENT / CURRENT;1281/002;6-15;ANS
2 M;(NU) SHORT TITLE (EXPANDED); ; ;CURRENT / CURRENT;1022/302;3-15;ANS
3 M;(NU) UNIT OF MEASUREMENT, STOCK ITEM; ; ;CURRENT / CURRENT;1008/051;1-3;A
4 M;(NU) REQUIRED TOTAL; ; ;CURRENT / CURRENT;1853/002;1-8;NS
5 M;(NU) REQUIRED ON HAND; ; ;CURRENT / CURRENT;1853/003;1-8;NS
6 M;(NU) ACTUAL ON HAND; ; ;CURRENT / CURRENT;1853/006;1-8;NS
7 M;(NU) TOTAL DUE IN; ; ;CURRENT / CURRENT;1853/004;1-8;NS
8 M;(NU) TOTAL DUE OUT; ; ;CURRENT / CURRENT;1853/005;1-8;NS
9 O;(NU) REQUIRED STOCKS CALCULATION METHOD; ; ;CURRENT / CURRENT;1568/002;3;A
10 O;(NU) LIMITING FACTORS/REMARKS; ; ;CURRENT / CURRENT;1357/030;1-68;X
