FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NATIONALITY; ; ;CURRENT / CURRENT;1026/002;2;A
2 M;(NU) NAVAL SHIP TYPE; ; ;CURRENT / CURRENT;1036/003;2-4;A
3 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
4 M;(NU) SHIP LENGTH, METRES; ; ;CURRENT / CURRENT;2387/002;2-6;ANS
5 M;(NU) VESSEL DRAFT, METRES; ; ;CURRENT / CURRENT;2348/002;2-6;ANS
6 M;(NU) MASTHEAD HEIGHT IN FEET OR METRES; ; ;CURRENT / CURRENT;2478/005;2-8;ANS
7 M;(NU) MAXIMUM SPEED, KNOTS; ; ;CURRENT / CURRENT;2265/008;4-7;ANS
8 C;(NU) CAVITATION SPEED, KNOTS; ; ;CURRENT / CURRENT;2265/009;4-7;ANS
9 C;(NU) FUEL CAPACITY, CUBIC METRES; ; ;CURRENT / CURRENT;2386/002;4-15;ANS
10 C;(NU) FUEL REMAINING, CUBIC METRES; ; ;CURRENT / CURRENT;2386/003;4-15;ANS
11 C;(NU) FUEL CONSUMPTION PER DAY AT 15 KNOTS, CUBIC METRES; ; ;CURRENT / CURRENT;2386/004;4-15;ANS
12 C;(NU) FUEL CONSUMPTION PER DAY AT 25 KNOTS, CUBIC METRES; ; ;CURRENT / CURRENT;2386/005;4-15;ANS
13 C;(NU) MINIMUM ACCEPTABLE PERCENTAGE OF REMAINING FUEL; ; ;CURRENT / CURRENT;1064/057;1-2;N
