FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER AND TYPE OF HEAVIEST VEHICLE; ; ;CURRENT / CURRENT;2510/004;3-35;X
2 M;(NU) LOAD OF HEAVIEST VEHICLE; ; ;CURRENT / CURRENT;1173/013;3-6;A
3 M;(NU) MILITARY LOAD CLASSIFICATION (TRACKED);MLCT; ;CURRENT / CURRENT;1253/006;1-3;N
4 M;(NU) MILITARY LOAD CLASSIFICATION (WHEELED);MLCW; ;CURRENT / CURRENT;1253/007;1-3;N
5 M;(NU) MAXIMUM PERMITTED TOTAL WEIGHT OF HEAVIEST WHEELED VEHICLE;MAXWEIW; ;CURRENT / CURRENT;1050/012;1-2;N
6 M;(NU) MAXIMUM PERMITTED TOTAL WEIGHT OF HEAVIEST TRACKED VEHICLE;MAXWEIT; ;CURRENT / CURRENT;1050/013;1-2;N
7 M;(NU) MAXIMUM WIDTH OF WIDEST VEHICLE IN CENTIMETRES;MAXWIDTH; ;CURRENT / CURRENT;1889/002;1-3;N
8 M;(NU) MAXIMUM HEIGHT OF HIGHEST VEHICLE IN CENTIMETRES;MAXHIGH; ;CURRENT / CURRENT;1726/003;1-3;N
9 M;(NU) MAXIMUM LENGTH OF LONGEST VEHICLE IN CENTIMETRES;MAXLEN; ;CURRENT / CURRENT;1890/002;1-4;N
10 M;(NU) TOTAL WEIGHT,MAX OF HEAVIEST WHEELED VEHICLE IN METRIC TONS;MAXTOT; ;CURRENT / CURRENT;1050/011;1-2;N
11 M;(NU) MAXIMUM AXLE WEIGHT FOR WHEELED VEHICLE IN METRIC TONS;MAXAXLE; ;CURRENT / CURRENT;1050/015;1-2;N
12 M;(NU) NUMBER OF AXLES OF HEAVIEST WHEELED VEHICLE;AXNUM; ;CURRENT / CURRENT;1044/381;1-3;N
* 13 M;(NU) AXLE WEIGHT (LOAD) OF HEAVIEST WHEELED VEHIC. IN METRIC TONS;AXWEIGHT; ;CURRENT / CURRENT;1050/010;1-2;N
* 14 M;(NU) AXLE CENTRE DISTANCE OF HEAVIEST VEHICLE IN CENTIMETRES;AXCENDIS; ;CURRENT / CURRENT;1896/002;1-4;NS
