FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AIRCRAFT EVENT NUMBER; ;A ;CURRENT / CURRENT;1012/023;3;N
;(NU) EXERCISE AIRCRAFT EVENT NUMBER; ;B ;CURRENT / CURRENT;1012/024;4;AN
2 M;(NU) NUMBER OF AIRCRAFT, 00-99; ; ;CURRENT / CURRENT;1044/003;2;N
3 M;(NU) AIRCRAFT CODE; ;A ;CURRENT / CURRENT;1015/002;2-6;AN
;(NU) AIRCRAFT TYPE;ACTYP;B ;CURRENT / CURRENT;1015/001;2-10;X
4 M;(NU) AIRCRAFT VARIANT; ; ;CURRENT / CURRENT;1219/002;1-2;A
5 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
6 M;(NU) AIRCRAFT ROLE, GENERAL; ; ;CURRENT / CURRENT;1010/001;1-5;AN
7 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ; ;CURRENT / CURRENT;2043/001;14;ANS
8 O;(NU) DAY-TIME CONTACT GAINED, VERIFIED; ;A ;CURRENT / CURRENT;2013/012;8;AN
;(NU) DAY-MONTH NAME; ;B ;CURRENT / CURRENT;2067/001;5;AN
9 O;(NU) FORMER WARSAW PACT AIR FORCES; ; ;CURRENT / CURRENT;1028/028;3;AN
10 O;(NU) AIRCRAFT ACTIVITY; ; ;CURRENT / CURRENT;1299/012;3-6;A
