FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) OVERALL BRIDGE LENGTH (FEET, YARDS OR METRES); ; ;CURRENT / CURRENT;2454/002;2-7;ANS
2 M;(NU) ORIENTATION, INTERCARDINAL; ; ;CURRENT / CURRENT;1161/009;1-2;A
3 M;(NU) MILITARY LOAD CLASSIFICATION; ; ;CURRENT / CURRENT;1253/001;1-3;N
4 M;(NU) NUMBER OF SPANS; ; ;CURRENT / CURRENT;1044/349;1-2;N
* 5 M;(NU) NUMBER OF THE SPAN BEING REPORTED ON; ; ;CURRENT / CURRENT;1012/335;1-2;N
* 6 M;(NU) MATERIAL USED IN CONSTRUCTION; ; ;CURRENT / CURRENT;1592/015;3-6;A
* 7 M;(NU) SPAN TYPE; ; ;CURRENT / CURRENT;1790/001;3-5;A
* 8 M;(NU) INDIVIDUAL SPAN LENGTH; ; ;CURRENT / CURRENT;2454/010;2-7;ANS
* 9 M;(NU) UNDER BRIDGE CLEARANCE; ; ;CURRENT / CURRENT;2452/004;2-7;ANS
* 10 M;(NU) SPAN DAMAGE; ; ;CURRENT / CURRENT;1854/002;4-5;A
