FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MISSION TIMEFRAME;TFRM;A;CURRENT / CURRENT;1144/002;3-11;AN
;(NU) MISSION DESIGNATOR OF A SPECIFIC TIMEFRAME;DESTFRM;B;CURRENT / CURRENT;2112/001;5-20;X
* 2 M;(NU) DAY-TIME ON; ;A;CURRENT / CURRENT;2000/057;7;AN
;(NU) DAY-TIME ON, VERIFIED; ;B;CURRENT / CURRENT;2013/058;8;AN
;(NU) TIME QUALIFIER ON; ;C;CURRENT / CURRENT;1220/002;3-7;A
;(NU) DAY-TIME AND MONTH ON STATION; ;D;CURRENT / CURRENT;2030/009;10;AN
;(NU) TIME QUALIFIER AND DAY-TIME ON; ;E;CURRENT / CURRENT;2245/001;10-14;AN
* 3 O;(NU) DAY-TIME OFF; ;A;CURRENT / CURRENT;2000/058;7;AN
;(NU) DAY-TIME OFF, VERIFIED; ;B;CURRENT / CURRENT;2013/059;8;AN
;(NU) TIME QUALIFIER OFF; ;C;CURRENT / CURRENT;1220/003;3-7;A
;(NU) DAY-TIME AND MONTH OFF STATION; ;D;CURRENT / CURRENT;2030/010;10;AN
;(NU) TIME QUALIFIER AND DAY-TIME OFF; ;E;CURRENT / CURRENT;2246/001;10-14;AN
;(NU) TIME QUALIFIER UNTIL FURTHER NOTICE; ;F;CURRENT / CURRENT;1220/005;3;A
