FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME CONTACT GAINED, VERIFIED; ;A;CURRENT / CURRENT;2013/012;8;AN
;(NU) DAY-TIME CONTACT GAINED; ;B;CURRENT / CURRENT;2000/046;7;AN
2 M;(NU) ASW MISSION EVENT; ; ;CURRENT / CURRENT;1224/003;4-7;AS
3 M;(NU) SENSOR TYPE;SENSOR;A;CURRENT / CURRENT;1434/001;2-6;AN
;(NU) ACOUSTIC INFORMATION SOURCE; ;B;CURRENT / CURRENT;1474/001;2-7;A
4 M;(NU) DAY-TIME CONTACT LOST, VERIFIED; ;A;CURRENT / CURRENT;2013/043;8;AN
;(NU) DAY-TIME CONTACT LOST; ;B;CURRENT / CURRENT;2000/047;7;AN
5 M;(NU) ASW MISSION EVENT; ; ;CURRENT / CURRENT;1224/003;4-7;AS
6 M;(NU) SENSOR TYPE;SENSOR;A;CURRENT / CURRENT;1434/001;2-6;AN
;(NU) ACOUSTIC INFORMATION SOURCE; ;B;CURRENT / CURRENT;1474/001;2-7;A
7 O;(NU) PERCENTAGE NUMBER, QUALIFIED; ; ;CURRENT / CURRENT;2301/001;4-7;ANS
