FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) INTERCEPT SERIAL NUMBER;SERNO;A;CURRENT / CURRENT;1012/025;3;N
;(NU) EXERCISE INTERCEPT SERIAL NUMBER;XSERNO;B;CURRENT / CURRENT;1012/026;4;AN
;(NU) MESSAGE SERIAL NUMBER;MSGSNO;C;CURRENT / CURRENT;1012/007;1-7;N
2 M;(NU) LOCATION OF INTERCEPT PLATFORM, LAT/LONG, MINUTES; ; ;CURRENT / CURRENT;2023/033;11;AN
3 M;(NU) DAY-TIME OF INTERCEPT; ; ;CURRENT / CURRENT;2000/016;7;AN
4 M;(NU) BEARING (001-360) IN DEGREES, TRUE;TRUE;A;CURRENT / CURRENT;1791/006;3;N
;(NU) BEARING OF SIGNAL FROM INTERCEPTING PLATFORM, DEGREES TRUE;BNG;B;CURRENT / CURRENT;2253/004;4;AN
5 M;(NU) EMITTER EVALUATION; ; ;CURRENT / CURRENT;1121/002;1-15;X
6 M;(NU) CRYSTAL FREQUENCY IN KILOHERTZ;KHZ;A;CURRENT / CURRENT;1066/002;1-8;NS
;(NU) RADIO FREQUENCY;FREQ;B;CURRENT / CURRENT;2064/001;3-14;ANS
;(NU) FREQUENCY BAND AND CHANNEL;BAND;C;CURRENT / CURRENT;2136/001;2-4;AN
7 M;(NU) EW CONFIDENCE LEVEL;CONF;A;CURRENT / CURRENT;1123/002;1;N
;(NU) EW CREDIBILITY;CRED;B;CURRENT / CURRENT;1123/004;3-4;A
8 M;(NU) EXERCISE NATO DESIGNATOR;XDESIG;A;CURRENT / CURRENT;2173/001;4-5;AN
;(NU) EXERCISE PLATFORM EMITTING SIGNAL SERIAL NUMBER;XPLAT;B;CURRENT / CURRENT;1012/028;4;AN
;(NU) PLATFORM EMITTING SIGNAL SERIAL NUMBER;PLAT;C;CURRENT / CURRENT;1012/027;3;N
;(NU) DESIGNATOR;DESIG;D;CURRENT / CURRENT;1103/002;3-4;AN
