FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AIR SORTIE IDENTIFICATION NUMBER; ; ;CURRENT / CURRENT;1012/205;1-3;N
2 O;(NU) MCM EQUIPMENT; ; ;CURRENT / CURRENT;1166/001;1-2;N
3 O;(NU) FLIGHT TIME IN HOURS AND TENTHS; ; ;CURRENT / CURRENT;1047/010;4;NS
4 O;(NU) TOW TIME OUT OF TRACK IN HOURS; ; ;CURRENT / CURRENT;1047/011;3;NS
5 O;(NU) OPERATING TOW TIME IN HOURS; ; ;CURRENT / CURRENT;1047/012;4;NS
6 O;(NU) STREAM TIME IN MINUTES; ; ;CURRENT / CURRENT;1072/010;2;N
7 O;(NU) RECOVERY TIME IN MINUTES; ; ;CURRENT / CURRENT;1072/011;2;N
8 O;(NU) TASK HOURS LOST DURING SORTIE HOURS; ; ;CURRENT / CURRENT;1047/013;1-2;N
9 O;(NU) TRANSIT DISTANCE IN NAUTICAL MILES; ; ;CURRENT / CURRENT;1089/004;1-2;N
10 O;(NU) MISSION ABORT CASUALTY INDICATOR; ; ;CURRENT / CURRENT;1027/008;2-3;A
11 O;(NU) TOTAL TURN TIME; ; ;CURRENT / CURRENT;1072/015;1-3;N
