FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CALL SIGN; ; ;CURRENT / CURRENT;1129/001;1-38;X
2 M;(NU) AIRCRAFT TYPE AND MODEL; ; ;CURRENT / CURRENT;1015/020;2-6;AN
3 M;(NU) INCIDENT POSITION, LAT/LONG, MINUTES;LATM;A;CURRENT / CURRENT;2023/018;11;AN
;(NU) LOCATION, UTM 1,000-METRE;UTMK;B;CURRENT / CURRENT;2088/020;9;AN
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;C;CURRENT / CURRENT;2431/001;5-20;X
;(NU) ACTIVITY LOCATION NAME;NAME;D;CURRENT / CURRENT;1022/103;1-20;X
4 M;(NU) DAY-TIME OF EVENT; ; ;CURRENT / CURRENT;2000/009;7;AN
5 M;(NU) LOST CREW STATUS; ; ;CURRENT / CURRENT;1376/002;3-4;A
6 O;(NU) CAUSE OF INFLIGHT AIRCRAFT LOSS; ; ;CURRENT / CURRENT;1374/002;3-11;AS
7 O;(NU) SEARCH AND RESCUE UNIT NOTIFIED; ; ;CURRENT / CURRENT;1027/060;2-3;A
