FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MINEFIELD PURPOSE; ; ;CURRENT / CURRENT;1160/001;8-10;A
2 M;(NU) MINING OPERATION; ; ;CURRENT / CURRENT;1134/004;5-6;A
3 M;(NU) OBJECTIVE OF MINEFIELD; ; ;CURRENT / CURRENT;1160/004;2-4;A
4 O;(NU) MINEFIELD TARGET CATEGORY; ; ;CURRENT / CURRENT;1309/003;3;A
5 O;(NU) MINEFIELD CONDITION AND VERIFIED TIME; ; ;CURRENT / CURRENT;2222/001;22-23;ANS
6 O;(NU) AIR DELIVERY METHOD AND VEHICLE; ;A;CURRENT / CURRENT;2223/001;7;AS
;(NU) SURFACE DELIVERY METHOD AND VEHICLE; ;B;CURRENT / CURRENT;2224/001;7-9;AS
;(NU) SUBSURFACE DELIVERY METHOD AND VEHICLE; ;C;CURRENT / CURRENT;2225/001;8-10;AS
7 O;(NU) CLASSIFICATION OF MINE TYPE; ;A;CURRENT / CURRENT;1210/002;6;A
;(NU) MINE MARK/MOD;MKMOD;B;CURRENT / CURRENT;1022/193;1-15;ANS
