FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) PATIENT CLASSIFICATION;1;CLASS; ; ;CURRENT / CURRENT;1282/002;1-2;AN;L
2 M;(NU) NUMBER OF PATIENTS, 1-999;7;NBR; ; ;CURRENT / CURRENT;1044/157;1-3;N;R
3 M;(NU) PERSONNEL GENDER;11;SEX; ; ;CURRENT / CURRENT;1286/002;4-6;A;L
4 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;18;EMBARK;M;A;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;EMBARK; ;B;CURRENT / CURRENT;2024/001;15;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;null;EMBARK; ;C;CURRENT / CURRENT;2087/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;null;EMBARK; ;D;CURRENT / CURRENT;2086/001;13;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;null;EMBARK; ;E;CURRENT / CURRENT;2017/001;8;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;EMBARK; ;F;CURRENT / CURRENT;2018/001;12;AN;L
;(NU) ICAO LOCATION IDENTIFIER;null;EMBARK; ;G;CURRENT / CURRENT;1125/001;4;AN;L
;(NU) LOCATION OR POSITION NAME;null;EMBARK;N;H;CURRENT / CURRENT;1022/006;1-15;X;L
5 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;36;DEBARK;M;A;CURRENT / CURRENT;2023/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;null;DEBARK; ;B;CURRENT / CURRENT;2024/001;15;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;null;DEBARK; ;C;CURRENT / CURRENT;2087/001;11;AN;L
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;null;DEBARK; ;D;CURRENT / CURRENT;2086/001;13;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;null;DEBARK; ;E;CURRENT / CURRENT;2017/001;8;AN;L
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;null;DEBARK; ;F;CURRENT / CURRENT;2018/001;12;AN;L
;(NU) ICAO LOCATION IDENTIFIER;null;DEBARK; ;G;CURRENT / CURRENT;1125/001;4;AN;L
;(NU) LOCATION OR POSITION NAME;null;DEBARK;N;H;CURRENT / CURRENT;1022/006;1-15;X;L
