FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ZONE LONG AXIS ORIENTATION IN DEGREES MAGNETIC; ; ;CURRENT / CURRENT;1883/004;3;N
2 M;(NU) LENGTH OF USABLE DROP ZONE (FEET, YARDS OR METRES); ; ;CURRENT / CURRENT;2454/004;2-7;ANS
3 M;(NU) WIDTH OF DROP ZONE; ; ;CURRENT / CURRENT;2451/016;2-7;ANS
4 M;(NU) GRADIENT;GRD; ;CURRENT / CURRENT;1789/001;1-2;N
5 M;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, CENTIMINUTES; ;C;CURRENT / CURRENT;2338/001;17;ANS
6 M;(NU) HEIGHT ABOVE MEAN SEA LEVEL OF INTENDED POINT OF IMPACT; ; ;CURRENT / CURRENT;2558/002;2-7;ANS
7 M;(NU) HEIGHT ABOVE MEAN SEA LEVEL (AMSL), HIGH POINT OF DROP ZONE; ; ;CURRENT / CURRENT;2558/003;2-7;ANS
8 O;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;A;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, CENTIMINUTES; ;C;CURRENT / CURRENT;2338/001;17;ANS
