FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PHONETIC ALPHABETIC IDENTIFIER; ;A;CURRENT / CURRENT;1128/002;4-8;A
;(NU) PHONETIC ALPHABETIC-NUMERIC IDENTIFIER; ;B;CURRENT / CURRENT;2406/001;8-14;AB
;(NU) PHONETIC IDENTIFIER; ;C;CURRENT / CURRENT;2407/001;8-14;AB
2 M;(NU) ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/011;14;ANS
;(NU) ORIGIN PLACE NAME;NAME;B;CURRENT / CURRENT;1022/109;1-20;X
;(NU) ORIGIN, BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;CURRENT / CURRENT;2307/002;10-27;ANBS
3 M;(NU) BEARING, QUALIFIED; ; ;CURRENT / CURRENT;2159/002;4-6;ANS
4 M;(NU) ANGLE EITHER SIDE OF AXIS; ; ;CURRENT / CURRENT;1043/012;1-3;N
5 M;(NU) MINIMUM ALTITUDE IN HUNDREDS OF FEET; ;A;CURRENT / CURRENT;2164/004;6;AN
;(NU) MINIMUM FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/002;5;AN
6 M;(NU) MAXIMUM ALTITUDE IN HUNDREDS OF FEET; ;A;CURRENT / CURRENT;2164/005;6;AN
;(NU) MAXIMUM FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/003;5;AN
7 M;(NU) SAFETY DISTANCE; ; ;CURRENT / CURRENT;2158/005;2-8;ANS
8 M;(NU) DAY-TIME OF START, VERIFIED; ;A;CURRENT / CURRENT;2013/008;8;AN
;(NU) DATE-TIME MONTH OF START, VERIFIED; ;B;CURRENT / CURRENT;2032/003;11;AN
9 M;(NU) DAY-TIME OF STOP, VERIFIED; ;A;CURRENT / CURRENT;2013/009;8;AN
;(NU) DATE-TIME MONTH OF STOP, VERIFIED; ;B;CURRENT / CURRENT;2032/004;11;AN
