FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SERIAL LETTER; ; ;CURRENT / CURRENT;1102/003;1;A
2 M;(NU) MESSAGE TEXT FORMAT IDENTIFIER; ;A;CURRENT / CURRENT;1018/002;3-19;X
;(NU) COMMUNICATION TYPE;TYPE;B;CURRENT / CURRENT;1153/001;3;A
3 M;(NU) ORIGINATOR; ; ;CURRENT / CURRENT;1029/001;1-30;X
4 M;(NU) DAY-TIME GROUP OF REFERENCE;DTIME;A;CURRENT / CURRENT;2197/002;6;N
;(NU) DAY-TIME OF REFERENCE; ;B;CURRENT / CURRENT;2000/034;7;AN
;(NU) DAY-TIME OF REFERENCE, VERIFIED; ;C;CURRENT / CURRENT;2013/033;8;AN
;(NU) DAY-TIME AND MONTH OF REFERENCE; ;D;CURRENT / CURRENT;2030/002;10;AN
;(NU) DATE-TIME MONTH OF REFERENCE, VERIFIED; ;E;CURRENT / CURRENT;2032/002;11;AN
;(NU) DTG OF REFERENCE, 4 DIGIT YR; ;F;CURRENT / CURRENT;2033/002;14;AN
;(NU) DTG OF REFERENCE, VERIFIED, 4 YR; ;G;CURRENT / CURRENT;2034/002;15;AN
;(NU) DATE OF REFERENCE, DDMMMYYYY; ;H;CURRENT / CURRENT;2001/003;9;AN
;(NU) DATE OF REFERENCE, DDMMYYYY;DMY;I;CURRENT / CURRENT;2052/002;8;N
;(NU) DATE OF REFERENCE, YYYYMMDD;YMD;J;CURRENT / CURRENT;2053/002;8;N
5 O;(NU) REFERENCE SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/066;1-10;X
6 O;(NU) SPECIAL NOTATION; ; ;CURRENT / CURRENT;1131/001;5;A
* 7 O;(NU) SIC; ;A;CURRENT / CURRENT;1017/002;3;A
;(NU) FILING NUMBER;FN;B;CURRENT / CURRENT;1012/049;1-10;X
