FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) SURPLUS OR DEFICIENCY;1;TYPE; ; ;CURRENT / CURRENT;1130/051;3-4;A;L
2 M;(NU) CLASS OF SUPPLY;6;CS; ; ;CURRENT / CURRENT;1231/001;2;N;R
3 M;(NU) REPORTABLE ITEM CODE (RIC);9;CODE; ;A;CURRENT / CURRENT;1281/001;6;ANS;L
;(NU) STOCK NUMBER;null;CODE;STO;B;CURRENT / CURRENT;1012/073;1-20;ANS;L
4 M;(NU) SHORT TITLE;34;TITLE; ; ;CURRENT / CURRENT;1022/087;3-12;ANS;L
5 O;(NU) STOCK ITEM QUANTITY AND UNIT OF MEASUREMENT;47;QUANTITY; ;A;CURRENT / CURRENT;2401/001;2-9;AN;R
;(NU) QUANTITY ON HAND;null;QUANTITY;QOH;B;CURRENT / CURRENT;1044/110;1-6;N;R
6 C;(NU) DAYS OF SUPPLY;58;ALLOW; ;A;CURRENT / CURRENT;1055/002;1-4;N;R
;(NU) ROUNDS PER WEAPON;null;ALLOW;RW;B;CURRENT / CURRENT;1044/356;1-4;N;R
7 O;(NU) DATA ENTRY;66;DE; ; ;CURRENT / CURRENT;1348/001;2;N;R
