FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) MISSION NUMBER;1;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
2 M;(NU) ATTACK AIRCRAFT CALL SIGN;10;ATKACCS; ; ;CURRENT / CURRENT;1129/037;1-12;X;L
3 M;(NU) RELATIVE AIRCRAFT ARRIVAL TIME;23;ATIME; ;A;CURRENT / CURRENT;2482/003;6;ANS;L
;(NU) DAY-TIME OF ARRIVAL;null;ATIME; ;B;CURRENT / CURRENT;2000/002;7;AN;L
;(NU) DAY-TIME OF ARRIVAL, VERIFIED;null;ATIME; ;C;CURRENT / CURRENT;2013/032;8;AN;L
4 M;(NU) NUMBER OF AIRCRAFT, 1-99;32;NO; ; ;CURRENT / CURRENT;1044/322;1-2;N;R
5 M;(NU) AIRCRAFT TYPE AND MODEL;35;ACTYPE;AC;A;CURRENT / CURRENT;1015/020;2-6;AN;L
;(NU) AIRCRAFT TYPE AND MODEL, OTHER;null;ACTYPE;OT;B;CURRENT / CURRENT;1015/018;2-6;AN;L
;(NU) AIRCRAFT CATEGORY, ABBREVIATED;null;ACTYPE;CT;C;CURRENT / CURRENT;1549/002;1-6;A;L
6 O;(NU) PRIMARY CONFIGURATION CODE;45;WPNTY; ; ;CURRENT / CURRENT;1012/258;1-15;X;L
