FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTACT SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/067;1-3;N
2 M;(NU) VESSEL NAME; ; ;CURRENT / CURRENT;1022/264;1-38;X
3 M;(NU) NATIONALITY; ; ;CURRENT / CURRENT;1026/002;2;A
4 M;(NU) CONTACT PHOTO STATUS; ; ;CURRENT / CURRENT;1450/001;3;A
5 M;(NU) HULL COLOUR; ; ;CURRENT / CURRENT;1138/002;3-6;A
6 M;(NU) VESSEL SUSPICION CODE; ; ;CURRENT / CURRENT;1698/002;2;N
7 O;(NU) PLEASURE CRAFT; ; ;CURRENT / CURRENT;1036/010;3-8;A
8 O;(NU) BRAND NAME; ; ;CURRENT / CURRENT;1022/265;1-20;X
9 O;(NU) HULL LENGTH, FEET OR METRES,; ; ;CURRENT / CURRENT;2266/003;2-7;ANS
10 O;(NU) NUMBER OF ADDITIONAL VESSELS IN AREA; ; ;CURRENT / CURRENT;1044/115;1-3;N
