FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SECTOR NUMBER; ; ;CURRENT / CURRENT;2408/001;8-14;AB
2 M;(NU) ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/011;14;ANS
;(NU) ORIGIN PLACE NAME;NAME;B;CURRENT / CURRENT;1022/109;1-20;X
;(NU) ORIGIN, BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;CURRENT / CURRENT;2307/002;10-27;ANBS
3 M;(NU) OUTER RANGE; ; ;CURRENT / CURRENT;2158/013;2-8;ANS
4 M;(NU) BEARING, QUALIFIED; ; ;CURRENT / CURRENT;2159/002;4-6;ANS
5 M;(NU) SECTOR WIDTH; ; ;CURRENT / CURRENT;1043/016;1-3;N
6 M;(NU) MAXIMUM FLIGHT LEVEL; ;A;CURRENT / CURRENT;2129/003;5;AN
;(NU) MAXIMUM ALTITUDE IN HUNDREDS OF FEET; ;B;CURRENT / CURRENT;2164/005;6;AN
7 O;(NU) DAY-TIME OF START, VERIFIED; ;A;CURRENT / CURRENT;2013/008;8;AN
;(NU) DATE-TIME MONTH OF START, VERIFIED; ;B;CURRENT / CURRENT;2032/003;11;AN
8 O;(NU) DAY-TIME OF STOP, VERIFIED; ;A;CURRENT / CURRENT;2013/009;8;AN
;(NU) DATE-TIME MONTH OF STOP, VERIFIED; ;B;CURRENT / CURRENT;2032/004;11;AN
