FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) MISSION NUMBER;1;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
2 O;(NU) ACTIVITY TYPE;10;ACTTYP; ; ;CURRENT / CURRENT;1299/001;1-8;A;L
3 C;(NU) TIME DESIGNATOR;19;TMEDES; ; ;CURRENT / CURRENT;1144/003;3-6;A;L
4 O;(NU) RELATIVE TIME (HOUR-MINUTE);26;TIME; ;A;CURRENT / CURRENT;2014/003;4;N;R
;(NU) DAY-TIME OF ACTIVITY;null;TIME; ;B;CURRENT / CURRENT;2000/072;7;AN;L
5 O;(NU) TYPE OF ACTIVITY;34;ACTTYP; ; ;CURRENT / CURRENT;1299/008;1-8;A;L
6 C;(NU) TIME DESIGNATOR;43;TMEDES; ; ;CURRENT / CURRENT;1144/003;3-6;A;L
7 O;(NU) RELATIVE TIME (HOUR-MINUTE);50;TIME; ;A;CURRENT / CURRENT;2014/003;4;N;R
;(NU) DAY-TIME OF ACTIVITY;null;TIME; ;B;CURRENT / CURRENT;2000/072;7;AN;L
8 O;(NU) TIME AMPLIFICATION COMMENT;58;CMNT; ; ;CURRENT / CURRENT;1357/011;1-11;X;L
