FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) LINE REFERENCE NUMBER;1;LN; ; ;CURRENT / CURRENT;1348/003;2;N;R
2 M;(NU) CONSIGNEE, ARMED SERVICE;4;CONSIGNEE; ;A;CURRENT / CURRENT;1107/003;1;A;L
;(NU) CONSIGNEE;null;CONSIGNEE; ;B;CURRENT / CURRENT;1022/178;2-10;X;L
3 M;(NU) STOWAGE CATEGORY;15;STCAT; ; ;CURRENT / CURRENT;1189/001;4-5;A;L
4 M;(NU) LOAD TYPE;21;TYPE; ; ;CURRENT / CURRENT;1173/001;3-6;A;L
5 M;(NU) NUMBER OF PIECES OF CARGO;28;QTY; ; ;CURRENT / CURRENT;1044/272;1-4;N;R
6 M;(NU) CARGO CONTAINER TYPE;33;CONTNR; ; ;CURRENT / CURRENT;1190/002;2-6;A;L
7 M;(NU) CARGO WEIGHT IN METRIC TONS;40;MTONS; ; ;CURRENT / CURRENT;1050/006;1-5;N;R
8 M;(NU) CARGO VOLUME IN CUBIC METRES;46;CUBE; ; ;CURRENT / CURRENT;1063/006;1-5;N;R
9 O;(NU) CARGO WEIGHT IN LONG TONS;52;LTONS; ; ;CURRENT / CURRENT;1167/002;1-5;N;R
10 O;(NU) CARGO VOLUME IN MEASUREMENT TONS;58;MEATN; ; ;CURRENT / CURRENT;1168/002;1-5;N;R
11 O;(NU) CARGO EXCEEDS SHIP BOOM CAPACITY INDICATOR;64;L; ; ;CURRENT / CURRENT;1359/020;1;A;L
12 C;(NU) STOWAGE LOCATION;66;LOC; ; ;CURRENT / CURRENT;2057/001;3;AN;L
