FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) VESSEL TYPE; ; ;CURRENT / CURRENT;1036/001;2-4;A
2 M;(NU) SHIP NAME; ;A;CURRENT / CURRENT;1022/049;1-38;X
;(NU) NAME OF SHIP CLASS;CL;B;CURRENT / CURRENT;1022/035;1-30;X
3 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
4 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) PLACE NAME;N;B;CURRENT / CURRENT;1022/170;1-20;X
5 O;(NU) DAY-TIME OF CONTACT, VERIFIED; ;A;CURRENT / CURRENT;2013/014;8;AN
;(NU) DAY-MONTH NAME; ;B;CURRENT / CURRENT;2067/001;5;AN
6 O;(NU) COURSE IN DEGREES TRUE AND SPEED IN KNOTS; ;A;CURRENT / CURRENT;2025/001;5-6;NS
;(NU) MOVEMENT ACTIVITY; ;B;CURRENT / CURRENT;1095/004;2-3;A
7 O;(NU) CARGO INDICATOR; ; ;CURRENT / CURRENT;1173/004;3;A
8 O;(NU) CONTACT VALIDITY; ; ;CURRENT / CURRENT;2049/001;2;A
